Unnamed: 0,text,label,timestamp,cleaned_text,sentiment
128,"I want to ask, have you ever been worried about the things you like? Even because you really like it, you feel like it's a part of your life. But every time you do or remember it you get worried. What do you think you should do? :(",Anxiety,2024-05-08,i want to ask have you ever been worried about the things you like even because you really like it you feel like its a part of your life but every time you do or remember it you get worried what do you think you should do ,Positive
129,"However, every time I picket, I'm always nervous: ""Even though I'm just a picket, I'm really scared, I'm excited:""",Anxiety,2024-05-09,however every time i picket im always nervous even though im just a picket im really scared im excited,Positive
130,BY GOD I'M STILL WORRY.,Anxiety,2024-05-10,by god im still worry,Neutral
131,"time goes on..days go on..at the same time my heart is getting restless and hurt...oh Allah I know you are testing me with this patience, and you are testing me with everything that happens..forgive me who is starting to weaken and lose enthusiasm for keep fighting and survive...",Anxiety,2024-05-11,time goes ondays go onat the same time my heart is getting restless and hurtoh allah i know you are testing me with this patience and you are testing me with everything that happensforgive me who is starting to weaken and lose enthusiasm for keep fighting and survive,Neutral
132,I want to exhale the restlessness in my chest with my breath,Anxiety,2024-05-12,i want to exhale the restlessness in my chest with my breath,Neutral
133,Why every morning I want to sleep I'm restless ,Anxiety,2024-05-13,why every morning i want to sleep im restless ,Neutral
134,"Anxious alone, sad alone, not having peace",Anxiety,2024-05-14,anxious alone sad alone not having peace,Negative
135,"What's wrong I'm worried, oh I hope it's okay",Anxiety,2024-05-15,whats wrong im worried oh i hope its okay,Neutral
136,"I really like this, I'm nervous about things I'm not sure about, I don't know why but I feel really nervous. WEIRD.",Anxiety,2024-05-16,i really like this im nervous about things im not sure about i dont know why but i feel really nervous weird,Negative
137,"I'm so nervous, why?",Anxiety,2024-05-17,im so nervous why,Neutral
138,but my heart is still restless even though my mouth is talking,Anxiety,2024-05-18,but my heart is still restless even though my mouth is talking,Neutral
139,Since then I was restless to the point of choking. What's wrong?,Anxiety,2024-05-19,since then i was restless to the point of choking whats wrong,Negative
140,"Starting to worry again if you have a lot of schedules, even though yesterday it was neatly arranged. How come biso missed ouch :')",Anxiety,2024-05-20,starting to worry again if you have a lot of schedules even though yesterday it was neatly arranged how come biso missed ouch ,Neutral
141,"Adf-my does anyone know why I am here? I've been feeling restless since yesterday, like worrying/worrying too much, suddenly feeling sad, just scared. But I also don't know why",Anxiety,2024-05-21,adfmy does anyone know why i am here ive been feeling restless since yesterday like worryingworrying too much suddenly feeling sad just scared but i also dont know why,Negative
142,"Gegana, restless, speechless, I don't know what the cause is:""",Anxiety,2024-05-22,gegana restless speechless i dont know what the cause is,Neutral
143,I'm lazy.. I'm so nervous,Anxiety,2024-05-23,im lazy im so nervous,Negative
144,Happy but also worried.,Anxiety,2024-05-24,happy but also worried,Positive
145,It's anxious to worry,Anxiety,2024-05-25,its anxious to worry,Negative
146,"Honestly, I'm really nervous",Anxiety,2024-05-26,honestly im really nervous,Positive
147,"Here from now on, my heart is restless",Anxiety,2024-05-27,here from now on my heart is restless,Neutral
148,"Later when you are tired of the new one, and then you look back and feel guilty for me, don't be a bit nervous. Trust me, I have forgiven you. Even though I will never accept you again.",Anxiety,2024-05-28,later when you are tired of the new one and then you look back and feel guilty for me dont be a bit nervous trust me i have forgiven you even though i will never accept you again,Negative
149,"I need adit not for stalking or for strange things because I myself have started to learn not to stalk just because I'm afraid that mental disorders will get worse even though I still feel anxious and afraid if I don't stalk, I can hold it so that Adit doesn't feel disturbed",Anxiety,2024-05-29,i need adit not for stalking or for strange things because i myself have started to learn not to stalk just because im afraid that mental disorders will get worse even though i still feel anxious and afraid if i dont stalk i can hold it so that adit doesnt feel disturbed,Negative
150,Keep restless astagfirullah,Anxiety,2024-05-30,keep restless astagfirullah,Neutral
151,"I'm excited but I don't know why, there's no reason, I'm nervous, I have a stomach ache but I'm scared, I know I'm tired, this is the third time today, hah â€” hah :)",Anxiety,2024-05-31,im excited but i dont know why theres no reason im nervous i have a stomach ache but im scared i know im tired this is the third time today hah â hah ,Negative
152,"Always worried about the future, even though today has not changed.",Anxiety,2024-06-01,always worried about the future even though today has not changed,Neutral
153,"every time you worry, why is the disease running to your stomach?",Anxiety,2024-06-02,every time you worry why is the disease running to your stomach,Neutral
154,"If you're nervous looking for the best position before going to sleep, it feels like someone's watching you ™„",Anxiety,2024-06-03,if youre nervous looking for the best position before going to sleep it feels like someones watching you ,Positive
155,Restless and agitated,Anxiety,2024-06-04,restless and agitated,Neutral
156,"In the evening, towards the morning. A little worried, a lot of longing",Anxiety,2024-06-05,in the evening towards the morning a little worried a lot of longing,Negative
157,"Some days, I don't think I'm doing well, so I feel like I'm really crying, scared, anxious, just sad. until I think of this when I cry, does my fast break or not?",Anxiety,2024-06-06,some days i dont think im doing well so i feel like im really crying scared anxious just sad until i think of this when i cry does my fast break or not,Negative
158,"It's been a few days when I sleep by default I'm afraid, restless, nervous, feel alone, sometimes my breath is really heavy.....why is that... like I'm afraid of being restless, oh my God",Anxiety,2024-06-07,its been a few days when i sleep by default im afraid restless nervous feel alone sometimes my breath is really heavywhy is that like im afraid of being restless oh my god,Negative
159,"tired of overtingking, tired of worrying too much, tired of being tired",Anxiety,2024-06-08,tired of overtingking tired of worrying too much tired of being tired,Negative
160,aren't you worried? aren't you worried? don't you worry...,Anxiety,2024-06-09,arent you worried arent you worried dont you worry,Neutral
161,"Instead of getting calmer, this heart is getting more restless",Anxiety,2024-06-10,instead of getting calmer this heart is getting more restless,Positive
162,can i tap the dm or not? I'm very nervous thinking,Anxiety,2024-06-11,can i tap the dm or not im very nervous thinking,Positive
163,Finally restless again uhh mmhhh ahh,Anxiety,2024-06-12,finally restless again uhh mmhhh ahh,Neutral
164,"No need to run, just walk one by one the stones that are being stepped on slowly and absorb it without feeling anxious and full of emotions",Anxiety,2024-06-13,no need to run just walk one by one the stones that are being stepped on slowly and absorb it without feeling anxious and full of emotions,Negative
165,"Lately I'm feeling scared & very anxious thinking about the day for tomorrow's work inspector . Honestly, I'm really scared because I'm not very close to friends, I'm afraid I can't, I'm afraid to disappoint, and if I suddenly remember I cry",Anxiety,2024-06-14,lately im feeling scared  very anxious thinking about the day for tomorrows work inspector  honestly im really scared because im not very close to friends im afraid i cant im afraid to disappoint and if i suddenly remember i cry,Negative
166,"This is why I can't sleep, I'm so restless...",Anxiety,2024-06-15,this is why i cant sleep im so restless,Neutral
167,I want to exhale the restlessness in my chest with my breath,Anxiety,2024-06-16,i want to exhale the restlessness in my chest with my breath,Neutral
168,Restless restlessness accompanies,Anxiety,2024-06-17,restless restlessness accompanies,Neutral
169,hlt! why do i like to be nervous tbtb keep worrying so much that i sweat,Anxiety,2024-06-18,hlt why do i like to be nervous tbtb keep worrying so much that i sweat,Positive
170,"Not many people are sure of their prayers, not many people are faithful to wait with what is prayed for. Prayer is unique, there is hope and feeling, there is worry and anxiety, there is tears and happiness. But the end of the prayer will always be the best for humans.",Anxiety,2024-06-19,not many people are sure of their prayers not many people are faithful to wait with what is prayed for prayer is unique there is hope and feeling there is worry and anxiety there is tears and happiness but the end of the prayer will always be the best for humans,Positive
171,"I wonder why my heart beats like that sometimes for weeks, then it's back to normal for a few weeks, does anyone know why this isn't it? Or maybe I'm often anxious and stressed, okay?",Anxiety,2024-06-20,i wonder why my heart beats like that sometimes for weeks then its back to normal for a few weeks does anyone know why this isnt it or maybe im often anxious and stressed okay,Positive
172,"I'm so nervous I swear, the views are getting slower",Anxiety,2024-06-21,im so nervous i swear the views are getting slower,Neutral
173,Just woke up feeling restless and sore ™„,Anxiety,2024-06-22,just woke up feeling restless and sore ,Neutral
174,I'm so worried 5 days of not coming home wey,Anxiety,2024-06-23,im so worried 5 days of not coming home wey,Neutral
175,My life is chaos. There is no solution. Fear of the uncertain. Restless direction.,Anxiety,2024-06-24,my life is chaos there is no solution fear of the uncertain restless direction,Neutral
176,UNDERSTANDING FEEL FEELING«,Anxiety,2024-06-25,understanding feel feeling,Neutral
177,I really can't be told to just listen to it for hours. Immediately anxious innate.,Anxiety,2024-06-26,i really cant be told to just listen to it for hours immediately anxious innate,Negative
178,I haven't given up… just a little restless.,Anxiety,2024-06-27,i havent given up just a little restless,Negative
179,Actually I'm worried. The original looks really scared. I've come to play/bite my nails :(,Anxiety,2024-06-28,actually im worried the original looks really scared ive come to playbite my nails ,Positive
